year,tagline
1947,"  ALL THE THRILLS...THE ROMANCE...THE DARING OF A SENSATIONAL BEST-SELLER BLAZES TO THE SCREEN!...S0 MAGNIFICENT...IT TOOK 6 GREAT STARS TO FILM IT! THRILLS AS BOLD AS THE SCREEN CAN HOLD...In This Story Of The Fabulous Flying McDonalds...And The Girl That All Four Loved! I CAN'T SHARE THE MAN I LOVE! - I can't share him with his brothers...one of whom thinks of me in a way he shouldn't't..I can't share him with the Carnival queen...the girl who came out of his past! Four daredevil brothers...blazing new airways...sharing the heart of a girl one of them married, but all of them couldn't live without! PARAMOUNT SWEEPS YOU ALOFT IN THE SCREEN'S GREATEST ROIMANCE OF THE SKIES! FOUR BROTHERS WHO GAVE THEIR LIVES TO THE SKIES...THEIR LOVE TO ONE GLORIOUS WOMAN! SHE KEPT HER LOVE FOR ONE...BY SHARING IT WITH ALL!"
2013,  They took her sister. She'll take their lives.
1992,  THE KING OF ROCK N ROLL IS MAKING A COMEBACK... FROM THE GRAVE! Rock n' roll legends die hard - Especially in Blazeland
1992,  (VG) Take possession of your enemy's body!
1948,  ON THE THRILL-'N-RHYTHM WARPATH! (original poster - all caps) DURANGO AND SMILEY IN A BLAZING INDIAN WAR! (original poster - all caps) REDSKIN WARFARE! RED-HOT TUNES (original poster-all caps) WAR-WHOOPS RING! BULLETS ZING! GAY HEARTS SING! (original poster - all caps) THE WEST'S BEST ACTION AND FUN TEAM! (original poster-all caps) HEAP BIG CHIEFS OF WESTERN ACTION AND SONG! (original print ad-all caps) DURANGO AND SMILEY IN A BLAZING INDIAN WAR!
2008,"  10,000 miles, 1000 competitors, 1 victor. Cairo to San Francisco nonstop...on Big Wheels!"
1956,  SENSATIONAL SERIAL THRILLS THAT ROAR OUT OF THE WEST! Sensations Out Of The Most Savage Days Of The West! OUT OF THE FRONTIER'S GOLDEN AGE --- THE SCREEN'S GREATEST TREASURE OF SERIAL THRILLS! THRILL-A-SECOND FRONTIER ACTION! Heroes of the Pony Express!
1998,  What you don't know can't hurt you.
2002,  What if you could make all your stains disappear?
2009,"  Five men sharing a common dream, that was dashed at an early age."
2009,  Every addiction has its price.
2002,"  When Fantasy, is mixed with reality...our life as we know it will BLEED.......# Bleed (2002) (V)	Join the club.# Bleed 4 Me (2011)	This Christmas, The World Will Bleed!# Bleed Into One (2010) {{SUSPENDED}}	The story of Christian Rock.# Bleed Out (2011)	Have you ever seen something you shouldn't have?# Bleed You Sons (2007)	The New Western from The Mindsong Troupe!# Bleeders (1997)	It's in the blood# Bleeding (2009)	The real nightmare begins after you wake up.# Bleeding Iowa (1999)	They promised him freedom...# Bleeding Ohio (2008)	Welcome To Battleground Zero# Bleeding Orange & Brown: A Cleveland Tradition (2005)	 It's just blue collar football for a blue collar town."""
2011,  Shut the bleep up.
2012,  Who's Ricardo?
1971,  Who were the misfits? The men who killed for sport... ...or those who fought for the buffalo! Only one animal kills just for the sport of it... Guess which...
2000,  Fear the Darkness. Fight the Evil. Bless the Child. Mankind's last hope just turned six.
2009,  A young nun must face her past to save a young boy.
1972,  The Greatest Family Comedy Team Now on the Big Screen!
2004,  Evil is coming.
2008,  Pick a life...any life
2009,  Sometimes the worst experiences present the best opportunities for love and compassion.
2008,"  How far revenge can take you, how far guilt can take you."
2010,  Proof that unlikely bonds form in the darkest of places
2011,  What do you see?
2014,  A blind man's sees beyond physical blindness.
2003,  Anonymous can be a problem when your computer doesn't work.
1984,  The ultimate hi-tech thriller [Video Australia]
2005,"  They are both truly, deeply, madly nuts!"
2005,  It's just a blind date. What's the worst that could happen? This is one woman's harrowing tale of hope gone awry
2009,"  But, everyone have flaws, don't they?"
2010,"  Unlucky in love? Open your eyes, maybe the problem is you!"
2012,  This Photographer has a real eye for his work...
2013,  Your love life is about to take a trip to the netherworld.
2007,  Betrayal was their first mistake
1989,  He may be blind but he don't need no dog. He's lucky he can't see what he's up against. Master of the sword. Avenger of the truth. Blind as a bat.
1981,  Nothing to see. Nothing to Live ?
2007,  A Romantic Comedy that explores the role of luck (and meddling!) in finding one's soul mate.
1992,"  (TV) A killer hides in plain sight, stalking a man who cannot see."
2007,  A well-meaning businessman believes he has fallen victim to a blind man's scam.
2008,  What if all the expectations you have about the future are completely wrong?
2011,  What is the true meaning of love? What is true love?
2011,  A summer party in the park ends when the naked truth is revealed.
2010,  Sometimes your teacher isn't always smarter than you.
2004,  When desire gets dangerous.
2009,"  Reality and dream blur together, as one is confronted by an unknown stranger."
2007,  A fish you eat is just like us
2006,  Don't forget to tip your bartender. Where fantasy and reality meet for a drink...
1965,  Living Dangerously . . . and loving every minute of it! Behind the Blindfold is the greatest security trap ever devised! A new shape in screen suspense!
2007,  Every Decision........has a consequence...........
2004,  Der aussergewË†hnlichste Kinderfilm des Jahres 2004 (The most extraordinary children's film of the year 2004)
2011,  A film about the beauty and curse of vision.
1971,"  Blindman, Blindman, what did he do? Stole 50 women that belong to you."
2001,"  His eyes can't see, but his soul can ."
2007,  Blindness can go beyond its literal meaning
2008,"  Lust is blind. In a world gone blind, what if you were the only person who could see? Hope is blind. Love is blind. Your vision of the world will change forever. This fall, our vision of the world will change forever. Faith is blind. Trust is blind. You'll never see it coming"
1986,"  First, he was paid to watch her. Now, he'd pay any price to have her."
2012,  Family violence never ends well.
2008,  Grief. It's what's for dinner.
2006,  See the world in a whole new light.
2006,  What if suddenly everyone you knew were a stranger?
2010,  What are you afraid of?
2003,"  Joe's dad comes for a visit, but instead of opening the door, Joe's mom calls the police."
2008,"  Everything has been figured out, except how to live Jean-Paul Sartre"
2012,  Evil is much closer than it appears.
2008,"  When she leaves the room, you know you've been had."
2001,  ...ever wish you could get a moment back?
2005,"  Every four seconds, the human eye must blink... Every four seconds he must kill. Don't BLINK!"
2007,"  With a blink of an eye, you can blur reality."
2008,  9 shorts films about human emotions
2008,  True love never dies.
1985,  After Harry Joy dropped dead... his life was never the same again.
1997,  Love is only the beginning.
2001,  Diego's fantasy turned nightmare.
2005,"  If you don't see me, Am I not there?"
2008,"  Central Park has it all. Serene beauty, romantic Vistas, and 25-million tourists a year."
2014,  Where's Tasha? Families need fathers.
2005,  Junky Jockey
2005,  (V) We still have more hot young girls who will suck your brains out. So enjoy yourself with 15 more mindblowing hot sucking girls.
2005,  (V) 15 young hot horny girls who'll suck your brains out!
2013,  Everything Has A Price
1989,"  (VG) The ultimate 3-D mind teaser. East to play, difficult to master, impossible to quit."
2009,  This time the Blondes go in Space
2004,"  How many blonde actresses does it take to get an acting job? One, if all the rest are dead!"
1991,  Thelma and Louise meet Rocky!
1982,  ... An Erotic Climax to the 20th Century!
2013,"  Sex, Murder & a Road Trip...who could ask for more?"
1968,  Come along with a blonde on a trip you'll never forget! She'll blow your mind!
1932,  From the lips of one MAN to the arms of another! What could she do but flee from love? She loved two men at once!
2012,  blondes.....
1938,  BEWARE! SNAPPY SNOOPY BLONDE AT WORK! (original poster - all caps) Torch Blane always gets her man...in trouble (original poster)
1939,  Baby Goes To School... And You Go Into Stitches!
1941,  Where there's a Bumstead...there's always trouble and fun!
1942,  Blondie has a baby... Dagwood has a fit... You'll have hysterics!
1957,  Her body screamed for the thing she hated! You'll Gasp ... at her Hellbent Way of Living!
1978,  Winning is the best revenge.
2006,  Excessive violence. Gratuitous nudity. Zero budget.
1974,  Sickening horror to haunt your nightmares!
1976,  The first punk film
2000,  Love on the razor's edge of addiction.
2010,  Every family has its secrets
1955,  Adventure on the danger waters of the Orient!
2009,"  In A World Without Rules, He Makes His Own. It's time to knuckle up."
2007,  Temptation comes in many forms. Everyone has two lives. The one we show the world. And the one that was never meant to be seen.
1991,"  Since 8:00, Joey's been stabbed, chased, followed by the cops, made love to, and accused of murder. It's 8:45."
2001,  (V) Serial Killers need love too !
2001,  You thought the DEAD series was a trilogy.. You thought WRONG!
1971,  SHOCK after SHOCK after SHOCK as DESIRE drives a bargain with MURDER!
2008,  (V) The first step is admitting you have a problem.
2003,  (V) Carrie Anne has secrets. This is her diary.
1941,  Love flamed in the shadow of death!
2005,  Knitting like grandma never did.
2009,"  Two Brothers. Two Paths, One Fate"
1996,  There is no honour amongst thieves.
2005,  (V) All you sinners will soon believe in angels.
1958,  Hired guns against Blackfoot savages.
2007,  From evil's darkness.. Comes Jack.
2006,  (V) What is the reality behind the appearance? A new kind of female tenant that overcame two intruders that murdered her neighbors
2011,  A psycho killer on the loose is looking for his bloody revenge
2006,  (V) A Dare That Could Cost Them Their Lives In The Small Town Known As Blood Creek... No One Is Safe.
1985,"  (V) You just might get blood on you. in the tradition of horror legends Psycho, Halloween, and Friday the 13th The first movie made for the home video market. Might just scare you to DEATH!"
1985,"  An eye for an eye, a tooth for a tooth: he is the judge, the jury and the eliminator! An eye for an eye, a tooth for a tooth : he is the judge, the jury and the eliminator!"
